ImageFile,InventoryNumber,ArtistName,Title,ObjectType,Medium,ObjectDate,Height,Width,About the Artist,About the Artwork,County Department,Supervisorial District,Location Name,AddressStreet,AddressCity,AddressState,AddressPostalCode,Latitude,Longitude,Count,Group,Show
,2009.14,"Young, Joseph",Topographical Map,Mural,"Glass, polished stone, and granite on brick ",1962,240,960,"Joseph Young (1919-2007) was a native of Pittsburgh and received his BA degree from Westminster College in Pennsylvania. After serving in World War II, he studied at various art schools and academies both nationally and abroad. Young had a long and distinguished career as a public artist in multiple media including mosaic, stained glass, pre-cast concrete, granite, and wood. Two of his many projects include the Triforium, a kinetic sculpture at the downtown Los Angeles Civic Center, and the Los Angeles Holocaust Monument in Pan-Pacific Park.","<em>Topographical Map</em> is a 20-foot high by 80 foot wide high-relief mosaic and granite mural by artist Joseph Young located on the northern face of the Hall of Records. The mural depicts a bird’s eye view of the geologic features of the county of Los Angeles and its water resources. Mountainous areas are black, valleys are brown, and the Pacific Ocean is a colorful mosaic of green and blue tile. Pinkish granite represents the county’s northern boundary at the Sierra Mountains. 

Joseph Young worked closely with the building’s architects to achieve a design for the exterior wall of the auditorium. Young originally designed the mural to only portray geological features but added the county’s water sources to incorporate the piece with the large reflecting pool located at the wall’s base.",Internal Services,District 1 ,Hall of Records,320 West Temple Street,Los Angeles,California,90606,34.05596962,-118.244095,10,3,FALSE
,2009.15,"Napolitani, Livio",Unknown,Mural,Ceramic on black granite,1964,0,252,,"Commissioned for the Gardena Library and dedicated on December 5, 1964, this ceramic tile mosaic mural by Livio Napolitani is set into seven slabs of black stone and hung above the Library’s main entrance. The mural presents the Western development of communication through forms of writing. Beginning on the viewer’s left; a handprint symbolizes pre-civilization cave paintings. The mural then moves to representations of Egyptian Hieroglyphs, the invention of the phonetic alphabet, the development of the European printing press, and concludes with a picture of a modern woman reading aloud to a child. A quote from the Roman philosopher Pliny runs below the mural’s images. It states, “Were it not for books human culture would pass into oblivion as quickly as man himself.”",Public Library,District 2 ,Gardena Mayme Dear Library,1731 West Gardena Boulevard,Gardena,California,90606,33.88221401,-118.3075689,11,3,FALSE
,2009.16,"Tono, P. Takuma",Untitled,Garden,"Plants, trees, rocks, and sand",1964,,,"Professor P. Takuma Tono (1891-1987) was the head of the Landscape Architecture Department at Tokyo Agricultural University and considered one of the foremost Japanese landscape architects in the world, when he designed this garden for the Gardena Library in 1964. This was during the same time that work was being completed on his Portland Japanese Garden, considered by many to be the best Japanese garden in the United States. 

Professor Tono received a BA from Hokkaido University in Sapporo, Japan and a graduate degree in landscape architecture from Cornell University in New York. After graduating from Cornell in 1921, he returned to Japan and started the first landscape architecture and planning firm in the country. Throughout his career, though, he often returned to the U.S. to design gardens, consult, and teach. Additional notable American projects included a Japanese “Ryoanji” garden at the Brooklyn Botanic Garden (later removed).

Information about P. Takuma Tono provided courtesy of Ted Sieckman of the Portland Japanese Garden and Kathy Crosby of the Brooklyn Botanic Garden.","This Japanese garden is nestled in a central courtyard surrounded by the Gardena Mayme Dear Library. It can be seen by Library visitors from almost any spot inside the building. Designed by the famous Japanese landscape architect, P. Takuma Tono, the garden was a gift to the Library from the Gardena Valley Gardener’s Association (GVGA). The GVGA was founded in the 1950’s by Japanese American gardeners, many of whom had been forced to live in United States’ internment camps during WWII. Among the GVGA’s goals was to improve public perception of Japanese Americans after the War as well as to increase their participation in civic life. The GVGA not only donated the garden’s materials and Tono’s services, but they also built the garden and maintained it. The stone lantern in the garden’s center is over 150 years old and is a gift from the City of Ichikawa, Gardena’s Sister City in Japan.",Public Library,District 2 ,Gardena Mayme Dear Library,1731 West Gardena Boulevard,Gardena,California,90606,33.88221401,-118.3075689,12,3,FALSE
,2009.18,"Romanelli, Carl",Joseph Scott,Sculpture,Bronze on granite,1967,131,66,"Carlo Romanelli was a Los Angeles sculptor in the first half of the 20th Century. His works can be seen at St. Michael's Church, Los Angeles; St. Vincent de Paul, Los Angeles; and Temple Shaarei Tikvah, Arcadia.

His son, Carl Romanelli, also a sculptor, created the Joseph Scott statue, at the Stanley Mosk Courthouse in Los Angeles, as well as a likeness of Elvis Presley which resides outside the Las Vegas Hilton Hotel.","This life-size bronze figure depicts prominent Los Angeles citizen Joseph Scott (1867-1958). Scott, so well recognized in the civic affairs of Los Angeles, was given the title of “Mr. Los Angeles.” He is portrayed at about age 60, in an oratory stance, with right arm extended. The statue is located at the northeast corner of the courthouse facing Grand Avenue.

Scott, a native of England, left his homeland at age 22 because of religious discrimination, and settled briefly on the East Coast. After moving to Los Angeles, he studied law and was admitted to the bar. As a community leader, Scott was a member of many organizations including the Los Angeles School Board and Chamber of Commerce, and was a founder of the Southwest Museum, to name a few. He was also a champion of his religious faith and was involved in Catholic activities, receiving recognition for his services to numerous Catholic organizations.

In 1962, Carl Romanelli was commissioned by admirers of Scott to execute a statue. A fundraiser was held, but sufficient monies were not raised, and Romanelli never completed the plaster mold of the full-scale clay model he designed. Another sculptor Cataldo Papaleo, who altered some of Romanelli’s design, did the final casting. At the time of the unveiling in 1967, Romanelli declined to sign the work because of the changes that were made, and therefore his name appears only on the granite base he designed.","Superior Court of California, County of Los Angeles",District 1 ,Stanley Mosk Courthouse,110 N. Grand Ave.,Los Angeles,California,90606,34.05586406,-118.2484091,13,3,FALSE
,2009.2,"Houdon, Jean Antoine",George Washington,Sculpture,Bronze on granite,1933,118,46,"Jean-Antoine Houdon (1741-1828) was formally trained as a sculptor in France and Italy. Over a 50-year period, he executed sculptures of many of the period’s most prominent figures including Napoleon, Voltaire, Moliere, Diderot and Rousseau.","The life-size bronze George Washington statue is a copy of a granite sculpture by the French artist Jean-Antoine Houdon. The original was created in Paris in 1796 and was shipped and installed in the Virginia State Capitol in Richmond. With special permission from the Virginia General Assembly, Gorham Manufacturing Company cast approximately 30 bronze copies of the statue in the late nineteenth century. One copy was acquired in 1933 by the Women’s Community Service, an auxiliary of the Los Angeles Chamber of Commerce, and presented to Los Angeles County on February 22, 1933.

During its lifetime, the statue was installed in several areas in and around the Civic Center, downtown Los Angeles. The statue was adopted into the LA County Civic Art Collection in 2009 and installed on Block 2 of Grand Park during the 2012 renovation. In August of 2020, the statue was vandalized with red paint and toppled. The statue was removed and transported to an offsite storage facility.

After careful consideration, Arts and Culture identified Bob Hope Patriotic Hall, which houses the County’s Department of Military and Veterans Affairs, to relocate the George Washington statue. The move is part of a recontextualization that will place the statue in site-specific proximity with various artworks and ephemera relating to military history, figures, and events housed at the Patriotic Hall. Arts and Culture will work with the Department of Military and Veteran’s Affairs to engage local veterans of diverse backgrounds and perspectives, and a historian, to develop a new plaque that will accompany the statue and provide context about its history. Additionally, new digital content will be developed to reflect the complex perspectives surrounding the statue and George Washington as a historical figure, center the voices of those most impacted by this history, and explore the role of monuments and artworks in our civic spaces.

Arts and Culture’s intention with this work is to provide opportunity to engage questions of:

How do we reinterpret monuments and historical collections with today’s values of diversity, cultural equity, inclusion, and antiracism? How can we use arts to grapple with the complexity of our national and regional histories? How do we uplift the voices of those underrepresented and most impacted, to reflect a more diverse and more just LA County?

For more on the Department’s work exploring the role of monuments and artworks in our civic spaces and shining a light on undertold and underrepresented histories and perspectives through art, see Illuminate LA.",Military and Veterans Affairs,District 1 ,Bob Hope Patriotic Hall,1816 South Figueroa Street,Los Angeles,California,90606,34.03526169,-118.2712548,14,3,FALSE
,2009.21,"Van Sant, Tom",Flight,Sculpture,Aluminum,1970,120,24,"Tom Van Sant has created over sixty public murals and sculptures. His artwork can be found throughout southern California as well as internationally, including in the Honolulu, Taipei and Los Angeles airports. Van Sant was born in Los Angeles in 1931. He received a BA from Stanford University, a MFA from Otis Art Institute, and a MA in Environmental Arts and Sciences from Goddard College. Two other Van Sant artworks are held in Los Angeles County’s Collection, Inventive Progress of Man at the Bell Library, and Flight at the Huntington Park Library.","Hung high above the Huntington Park Library’s main stairway, Flight is a curved, asymmetrical shape, which resembles various flying figures depending on which angle it is viewed. Reminiscent of a bird or a bat with its wings outstretched, it is made of aluminum and suspended by three center cables. Artist Tom Van Sant dedicated the artwork in a public ceremony at the library on July 20, 1970.",Public Library,District 4 ,Huntington Park Library,6518 Miles Avenue,Huntington Park,California,90059,33.98034887,-118.2186865,15,4,FALSE
,2009.22,"Romanelli, Carlo Alfred",The Helmsman,Sculpture,Copper painted stone on marble,1931,180,108,"Carlo Romanelli was a Los Angeles sculptor in the first half of the 20th Century. His works can be seen at St. Michael's Church, Los Angeles; St. Vincent de Paul, Los Angeles; and Temple Shaarei Tikvah, Arcadia.

His son, Carl Romanelli, also a sculptor, created the Joseph Scott statue, at the Stanley Mosk Courthouse in Los Angeles, as well as a likeness of Elvis Presley which resides outside the Las Vegas Hilton Hotel.","For many years, The Helmsman stood in front of, and was a trademark for, the world-renowned Helms Bakery on Venice Boulevard in Culver City, California. In 1971 the statue was donated to the County by the Helms family. It is now looks out over the Marina Del Rey Harbor in Burton W. Chace Park. The Helmsman is a cast concrete figure in staunch repose with both hands clenched on a wooden helm. His posture is tight, his body hunched over, and his expression determined. Although formerly the symbol of the unfaltering delivery service of the Helms Bakery, The Helmsman fits perfectly in this maritime environment.",Beaches and Harbors,District 2 ,Burton W. Chace Park,13650 Mindanao Way,Marina Del Rey,California,90059,33.97866952,-118.442936,16,4,FALSE
,2009.23,"Matranga, Frank",Untitled,Mural,Ceramic,1971,120,144,"Frank Matranga received his BA and MA from Los Angeles State University. While working on his MA, he was offered a job teaching ceramics at a local high school. This led him to discover a lifelong love affair with clay. He completed his master’s degree in art and later studied at the University of Southern California under Carlton Ball. In 1961 he started his own ceramic studio in Redondo Beach (later moved to Manhattan Beach) and began to teach in the Los Angeles Community College system, which he would do for the next twenty years.
His public art career began in 1970 when Sears, Roebuck, and Company commissioned him to create seven murals for Sears stores in the Southern California area. In the following decades he has completed over 50 ceramic mural commissions for libraries, private companies, and homes. In 1977 and 1979 he was invited to be an artist in residence in Japan, where he exhibited at the American Embassy Gallery in Tokyo. His work has also been shown in Australia and Germany.","Visitors to the La Cañada Flintridge Library encounter a large ceramic tile mural by Frank Matranga as they enter the building. The mural features abstract forms that gracefully interlock in a beautiful display of soft shapes and muted colors. This was one of the artist’s first large-scale tile murals and, like many of his other works, is inspired by the movement of the wind and sea.",Public Library,District 5 ,La Cañada Flintridge Library,4545 N. Oakwood Ave.,La Cañada Flintridge,California,91773,34.20276641,-118.1942017,17,4,FALSE
,2009.24,"Van Sant, Tom",Body of Knowledge,Mural,Sculptured brick,1972,168,120,"Tom Van Sant has created over sixty public murals and sculptures. His artwork can be found throughout southern California as well as internationally, including in the Honolulu, Taipei and Los Angeles airports. Van Sant was born in Los Angeles in 1931. He received a BA from Stanford University, a MFA from Otis Art Institute, and a MA in Environmental Arts and Sciences from Goddard College. Two other Van Sant artworks are held in Los Angeles County’s Collection, Inventive Progress of Man at the Bell Library, and Flight at the Huntington Park Library.","Body of Knowledge is composed of a large undulating curvilinear shape surrounded by a pattern of intermittent bricks that jut out of the wall. The adjacent bricks form a pattern appear random and at the same time are reminiscent of Braille writing or the symbols from a computer data print out. Before installing this brick bas-relief sculpture over the Angelo M. Iacoboni Library’s main entrance, Tom Van Sant sculpted each brick according to his master diagram and then supervised the firing at the kiln site. The artwork was then set into the wall by brick masons under Van Sant’s direction.",Public Library,District 4 ,Angelo M. Iacoboni Library,4990 Clark Avenue,Lakewood,California,91773,33.8487164,-118.1333357,18,4,FALSE
,2009.25,"Ackerman, Frank",Vietnam Memorial,Sculpture,Bronze on granite,1973,52,23,"Frank Ackerman (1933-1986) was a prominent watercolor artist who attended the Chouinard Art Institute and was President of the National Watercolor Society in the early 1970s. His designs have been exhibited at many galleries and museums including the Legion of Honor in San Francisco and the National Academy of Design, New York. Ackerman joined LA County’s Graphic Arts Department after working as a County architectural draftsman and illustrator. He headed the County Graphics Department between 1973 and 1980 and then became the Chief of Museum Exhibit Services at the Museum of Natural History. Ackerman also traveled to the South Pole as an official Navy artist in the 1960s.","Situated in the Court of Flags in Grand Park, this County-commissioned Vietnam Memorial honors the 231,000 Los Angeles residents who served in the Vietnam War. The design consists of a solitary cast bronze helmet resting on a plinth, the top surface resembles the ground. The inscription reads, “In proud recognition of the men and women of Los Angeles County who faithfully served with courage, dignity and honor 1961-1973.”",Internal Services,District 1 ,Gloria Molina Grand Park,227 N. Spring St.,Los Angeles,California,90033,34.05423454,-118.2435274,19,4,FALSE
,2009.29,"Young, Joseph",Untitled,Sculpture,Concrete,1973,,,"Joseph Young (1919-2007) was a native of Pittsburgh and received his BA degree from Westminster College in Pennsylvania. After serving in World War II, he studied at various art schools and academies both nationally and abroad. Young had a long and distinguished career as a public artist in multiple media including mosaic, stained glass, pre-cast concrete, granite, and wood. Two of his many projects include the Triforium, a kinetic sculpture at the downtown Los Angeles Civic Center, and the Los Angeles Holocaust Monument in Pan-Pacific Park.","This work by Joseph Young is incorporated into the building’s overall design. It is composed of interlocking and overlapping bas-relief shapes, divided into three sections. The large vistas of geometric forms add movement to the facade of the library. The work was dedicated on May 15, 1973 by County Supervisor Pete Schabarum, South Gate Mayor Don R. Sawyer, and City Councilman Frank Gafkowski.",Public Library,District 4 ,Leland R. Weaver Library,4035 Tweedy Boulevard,South Gate,California,90033,33.94409768,-118.2014182,20,5,FALSE
,2009.31,"Matranga, Frank",Untitled,Mural,Ceramic,1974,107,122,"Frank Matranga received his BA and MA from Los Angeles State University. While working on his MA, he was offered a job teaching ceramics at a local high school. This led him to discover a lifelong love affair with clay. He completed his master’s degree in art and later studied at the University of Southern California under Carlton Ball. In 1961 he started his own ceramic studio in Redondo Beach (later moved to Manhattan Beach) and began to teach in the Los Angeles Community College system, which he would do for the next twenty years.
His public art career began in 1970 when Sears, Roebuck, and Company commissioned him to create seven murals for Sears stores in the Southern California area. In the following decades he has completed over 50 ceramic mural commissions for libraries, private companies, and homes. In 1977 and 1979 he was invited to be an artist in residence in Japan, where he exhibited at the American Embassy Gallery in Tokyo. His work has also been shown in Australia and Germany.","This mural is the second work that Frank Matranga created for six Los Angeles County Libraries in the 1970s and 80s. He conceived, designed, and fabricated the mural in his studio and then delivered the tiles to the Satow Library’s site (then known as the West Gardena Library). They were installed by a professional tile setter under Matranga’s supervision. This artwork, like many of his others in the County’s collection, reflects Matranga’s continuing fascination with the wind and the ocean.",Public Library,District 2 ,Masao W. Satow Library,14433 South Crenshaw Boulevard,Gardena,California,90033,33.89995711,-118.3267556,21,5,FALSE
,2009.35,"Matranga, Frank",Untitled,Mural,Brick,1976,96,1442,"Frank Matranga received his BA and MA from Los Angeles State University. While working on his MA, he was offered a job teaching ceramics at a local high school. This led him to discover a lifelong love affair with clay. He completed his master’s degree in art and later studied at the University of Southern California under Carlton Ball. In 1961 he started his own ceramic studio in Redondo Beach (later moved to Manhattan Beach) and began to teach in the Los Angeles Community College system, which he would do for the next twenty years.
His public art career began in 1970 when Sears, Roebuck, and Company commissioned him to create seven murals for Sears stores in the Southern California area. In the following decades he has completed over 50 ceramic mural commissions for libraries, private companies, and homes. In 1977 and 1979 he was invited to be an artist in residence in Japan, where he exhibited at the American Embassy Gallery in Tokyo. His work has also been shown in Australia and Germany.","In a departure from Frank Matranga’s previous Los Angeles County Library murals, this artwork was carved directly into the Marina del Rey Library’s outer brick wall. To achieve this effect, Matranga worked with the Library’s brick masons and sculpted his design into the wet bricks before they were fired. Each brick was then numbered and installed by the masons with the other conventional bricks as the building was being completed. The artwork depicts boats sailing under a sunny sky.",Public Library,District 2 ,Lloyd Taber Marina Del Rey Library,4533 Admirality Way,Marina Del Rey,California,90033,33.98335688,-118.4440743,22,5,FALSE
